donor_code,donor_name,donor_type,country_code,country_name,sector,recent_avg,active_years,active_share,sector_share,disburse_pctile_within_cs,disbursement_strong,persistence_strong,embeddedness_strong,n_strong,priority,cs_context
CAN,Canada,Bilateral (DAC),BLZ,Belize,Health,0.0013014573479786,11,0.4782608695652174,0.010318584157155673,10.0,False,False,False,0,Low,Thin / emerging space
TWN,Chinese Taipei,Bilateral (Non-DAC),BLZ,Belize,Health,0.12127931474234636,2,0.08695652173913043,0.04422210505495878,70.0,True,False,False,1,Medium,Thin / emerging space
JPN,Japan,Bilateral (DAC),BLZ,Belize,Health,0.11389198887466355,15,0.6521739130434783,0.05683337983640777,60.0,False,True,False,1,Medium,Thin / emerging space
1UN019,UNICEF,UN Agency,BLZ,Belize,Health,0.061176428101419995,18,0.782608695652174,0.058943461196615095,40.0,False,True,False,1,Medium,Thin / emerging space
LTU,Lithuania,Bilateral (DAC),BLZ,Belize,Health,0.055544333333333334,1,0.043478260869565216,1.0,30.0,False,False,True,1,Medium,Thin / emerging space
1UN025,WHO SPRP,UN Agency,BLZ,Belize,Health,0.019209666666666667,1,0.043478260869565216,1.0,20.0,False,False,True,1,Medium,Thin / emerging space
5RDB003,CABEI,MDB,BLZ,Belize,Health,0.0,1,0.043478260869565216,0.7814992491079555,,False,False,False,0,Peripheral / not assessed,Thin / emerging space
9OTH012,Global Fund (GFATM),Vertical Fund,BLZ,Belize,Health,0.0,4,0.17391304347826086,0.23423394927437313,,False,False,False,0,Peripheral / not assessed,Thin / emerging space
ARE,United Arab Emirates,Bilateral (Non-DAC),BLZ,Belize,Health,0.0,1,0.043478260869565216,0.094334833308862,,False,False,False,0,Peripheral / not assessed,Thin / emerging space
AUS,Australia,Bilateral (DAC),BLZ,Belize,Health,0.0,3,0.13043478260869565,0.030491631078816094,,False,False,False,0,Peripheral / not assessed,Thin / emerging space
AUT,Austria,Bilateral (DAC),BLZ,Belize,Health,0.0,1,0.043478260869565216,0.008326632444445101,,False,False,False,0,Peripheral / not assessed,Thin / emerging space
AZE,Azerbaijan,Bilateral (Non-DAC),BLZ,Belize,Health,0.0,1,0.043478260869565216,1.0,,False,False,False,0,Peripheral / not assessed,Thin / emerging space
DEU,Germany,Bilateral (DAC),BLZ,Belize,Health,0.0,2,0.08695652173913043,0.03480458658290986,,False,False,False,0,Peripheral / not assessed,Thin / emerging space
KOR,Korea,Bilateral (DAC),BLZ,Belize,Health,0.0,1,0.043478260869565216,0.03530660559676217,,False,False,False,0,Peripheral / not assessed,Thin / emerging space
TWN,Chinese Taipei,Bilateral (Non-DAC),BLZ,Belize,Industry Mining & Construction,1.050467,1,0.043478260869565216,0.3830320292414002,100.0,True,False,True,2,High,Thin / emerging space
1UN014,UNDP,UN Agency,BLZ,Belize,Industry Mining & Construction,0.061932990184071064,1,0.043478260869565216,0.05381022856215645,75.0,True,False,False,1,Medium,Thin / emerging space
CAN,Canada,Bilateral (DAC),BLZ,Belize,Industry Mining & Construction,0.020480788640107033,6,0.2608695652173913,0.24536001890074374,50.0,False,False,True,1,Medium,Thin / emerging space
JPN,Japan,Bilateral (DAC),BLZ,Belize,Industry Mining & Construction,0.0034923495889546004,12,0.5217391304347826,0.007380498642231234,25.0,False,True,False,1,Medium,Thin / emerging space
1UN006,ILO,UN Agency,BLZ,Belize,Industry Mining & Construction,0.0,1,0.043478260869565216,0.0002989936708393597,,False,False,False,0,Peripheral / not assessed,Thin / emerging space
