year,country_name,total_oda
2009,Uruguay,52.128778000000004
2009,Venezuela (Bolivarian Republic of),60.674951
2010,Anguilla,0.400091
2010,Antigua and Barbuda,5.393504
2010,Argentina,129.598562
2010,Barbados,3.026959
2010,Belize,19.664702
2010,Bolivia (Plurinational State of),594.365439
2010,Brazil,579.340838
2010,Caribbean (Unspecified),114.377679
2010,Chile,195.36568
2010,Colombia,754.981825
2010,Costa Rica,111.75657
2010,Cuba,112.34574900000001
2010,Dominica,11.864387
2010,Dominican Republic,182.656768
2010,Ecuador,220.979114
2010,El Salvador,392.913509
2010,Grenada,20.131692
2010,Guatemala,429.492703
2010,Guyana,83.980011
2010,Haiti,3280.211334
2010,Honduras,344.840717
2010,Jamaica,103.370181
2010,Mexico,680.232645
2010,Montserrat,22.858216
2010,Nicaragua,470.47166400000003
2010,Panama,108.691383
2010,Paraguay,137.004646
2010,Peru,647.29179
2010,Saint Kitts and Nevis,7.083795
2010,Saint Lucia,15.064731
2010,Saint Vincent and the Grenadines,9.387407999999999
2010,South America (Unspecified),212.536931
2010,Suriname,93.63928800000001
2010,Trinidad and Tobago,4.491372
2010,Uruguay,46.153598
2010,Venezuela (Bolivarian Republic of),48.016433
2011,Anguilla,0.8229299999999999
2011,Antigua and Barbuda,8.514246
2011,Argentina,108.889431
2011,Belize,20.4956
2011,Bolivia (Plurinational State of),506.952901
2011,Brazil,742.099716
2011,Caribbean (Unspecified),145.17541
2011,Chile,90.586905
2011,Colombia,1150.701361
2011,Costa Rica,65.90327500000001
2011,Cuba,87.019716
2011,Dominica,15.839257
2011,Dominican Republic,273.13525400000003
2011,Ecuador,230.447633
2011,El Salvador,359.631342
2011,Grenada,12.608151
2011,Guatemala,368.263674
2011,Guyana,89.568552
2011,Haiti,1520.4685729999999
2011,Honduras,377.935444
2011,Jamaica,97.704109
2011,Mexico,1099.1011369999999
2011,Montserrat,47.051762
2011,Nicaragua,442.026281
2011,Panama,91.194989
2011,Paraguay,109.808159
2011,Peru,743.4168910000001
2011,Saint Kitts and Nevis,3.0113890000000003
2011,Saint Lucia,24.47801
2011,Saint Vincent and the Grenadines,10.68646
2011,South America (Unspecified),199.883656
2011,Suriname,72.477983
2011,Uruguay,30.250127
2011,Venezuela (Bolivarian Republic of),47.943377
2012,Anguilla,0.7987900000000001
2012,Antigua and Barbuda,2.37714
2012,Argentina,89.27502
2012,Belize,20.80815
2012,Bolivia (Plurinational State of),661.31319
2012,Brazil,1462.877484
2012,Caribbean (Unspecified),211.18487
2012,Chile,143.012235
2012,Colombia,860.331029
2012,Costa Rica,62.946388000000006
2012,Cuba,78.731299
2012,Dominica,27.827136
2012,Dominican Republic,295.742591
2012,Ecuador,200.35658
2012,El Salvador,324.29328
2012,Grenada,9.591946
2012,Guatemala,349.200332
2012,Guyana,108.79582500000001
2012,Haiti,1306.530021
2012,Honduras,573.983115
2012,Jamaica,90.675458
2012,Mexico,581.1756359999999
2012,Montserrat,35.616507
2012,Nicaragua,549.8842
2012,Panama,66.28476500000001
2012,Paraguay,155.625083
2012,Peru,540.485993
2012,Saint Kitts and Nevis,6.062466
2012,Saint Lucia,9.051733
2012,Saint Vincent and the Grenadines,5.241032000000001
2012,South America (Unspecified),347.89811299999997
2012,Suriname,38.475207
2012,Uruguay,23.467315
2012,Venezuela (Bolivarian Republic of),45.767801999999996
2013,Anguilla,2.964892
2013,Antigua and Barbuda,1.575493
2013,Argentina,83.053437
2013,Belize,46.218323999999996
2013,Bolivia (Plurinational State of),666.8515120000001
2013,Brazil,1169.603217
2013,Caribbean (Unspecified),139.045017
2013,Chile,91.960016
2013,Colombia,924.842722
2013,Costa Rica,67.268523
2013,Cuba,90.264501
2013,Dominica,15.486988
2013,Dominican Republic,174.431749
2013,Ecuador,213.784135
2013,El Salvador,218.33898000000002
2013,Grenada,21.354461
2013,Guatemala,555.779439
2013,Guyana,97.19237500000001
2013,Haiti,1191.3973059999998
2013,Honduras,608.618378
2013,Jamaica,100.88517
2013,Mexico,864.849518
2013,Montserrat,50.932382
2013,Nicaragua,481.12061
2013,Panama,54.715113
2013,Paraguay,171.005247
2013,Peru,519.133816
2013,Saint Kitts and Nevis,19.872904
2013,Saint Lucia,19.781477
2013,Saint Vincent and the Grenadines,8.84881
2013,South America (Unspecified),225.375396
2013,Suriname,25.809005
2013,Uruguay,40.631223
2013,Venezuela (Bolivarian Republic of),39.779955
2014,Antigua and Barbuda,2.102156
2014,Argentina,75.017871
2014,Belize,26.668951
2014,Bolivia (Plurinational State of),702.7292640000001
2014,Brazil,1106.949883
2014,Caribbean (Unspecified),150.517948
2014,Chile,230.30570400000002
2014,Colombia,1297.80018
2014,Costa Rica,75.863095
2014,Cuba,100.088284
2014,Dominica,19.066709
2014,Dominican Republic,179.1182
2014,Ecuador,220.461311
2014,El Salvador,153.40172
2014,Grenada,42.860048
2014,Guatemala,337.139304
2014,Guyana,151.350553
2014,Haiti,1027.493541
2014,Honduras,689.768515
2014,Jamaica,92.02133
2014,Mexico,954.000996
2014,Montserrat,33.835573
2014,Nicaragua,451.681733
2014,Panama,30.975881
2014,Paraguay,126.87806300000001
2014,Peru,513.521133
2014,Saint Lucia,23.781132
2014,Saint Vincent and the Grenadines,10.596934
2014,South America (Unspecified),240.693641
2014,Suriname,14.835695
2014,Uruguay,94.844258
2014,Venezuela (Bolivarian Republic of),37.944361
2015,Antigua and Barbuda,2.6283630000000002
2015,Argentina,153.532185
2015,Belize,26.307816
2015,Bolivia (Plurinational State of),904.2980100000001
2015,Brazil,992.363708
2015,Caribbean (Unspecified),160.204479
2015,Chile,97.78647
2015,Colombia,1616.992351
2015,Costa Rica,122.260698
2015,Cuba,223.444791
2015,Dominica,21.883122
2015,Dominican Republic,359.329355
2015,Ecuador,263.114843
2015,El Salvador,157.529138
2015,Grenada,41.757843
2015,Guatemala,507.711009
2015,Guyana,69.608262
2015,Haiti,1105.351455
2015,Honduras,648.602534
2015,Jamaica,89.094563
2015,Mexico,608.994826
2015,Montserrat,55.698356000000004
2015,Nicaragua,535.652336
2015,Panama,32.818291
2015,Paraguay,120.406132
2015,Peru,582.875356
2015,Saint Lucia,20.318815999999998
2015,Saint Vincent and the Grenadines,10.671849
2015,South America (Unspecified),382.156473
2015,Suriname,18.324418
2015,Uruguay,52.86295
2015,Venezuela (Bolivarian Republic of),45.473271
